feature,lower_quantile,upper_quantile,lower_value_train,upper_value_train,mean_after_clip_train,std_after_clip_train
logret_1d,0.01,0.99,-0.0443409325573984,0.0438241475923391,0.0005806767774922693,0.013959379891092949
logret_5d,0.01,0.99,-0.0961193385726328,0.0885533799430127,0.002948357804066347,0.030864458961916787
logret_20d,0.01,0.99,-0.1709621257232827,0.1656962799439743,0.012036689857499916,0.05909164946673182
momentum_20d,0.01,0.99,-0.1709621257232827,0.1656962799439743,0.012036689857499916,0.05909164946673182
momentum_60d,0.01,0.99,-0.2557004160146268,0.2686090704903376,0.03479419231538342,0.09681206672380464
realized_vol_5d,0.01,0.99,0.002302543594253,0.050939877401551,0.01262814544602411,0.008610258679274875
realized_vol_20d,0.01,0.99,0.0046153725199264,0.0443855424132696,0.013639970580423226,0.007081088018277803
realized_vol_60d,0.01,0.99,0.0058799672025797,0.0456213555738558,0.01425079731363893,0.006675732927868698
drawdown_20d,0.01,0.99,-0.1719067671675614,0.0,-0.030111395400975936,0.03519457786542907
drawdown_60d,0.01,0.99,-0.2547289827792534,0.0,-0.04961327735454542,0.053835782845976204
price_sma20_ratio,0.01,0.99,-0.0956561835968464,0.0938561287739181,0.005871800994221055,0.0330528688660628
price_sma60_ratio,0.01,0.99,-0.1503931875296702,0.1612586006896001,0.017866971683712093,0.05647019369502393
high_low_range,0.01,0.99,0.0053796465739796,0.0625142025105632,0.017583480211110107,0.010238071721376831
close_open_return,0.01,0.99,-0.0342719245981758,0.0338544929779331,0.00027368009310910907,0.011361561937633265
open_to_prev_close,0.01,0.99,-0.0282116914398919,0.027288537908543,0.0004142622344783453,0.007687184436308823
log_volume_change_1d,0.01,0.99,-0.8736054638917885,0.9661611521273166,-0.0006920482111012151,0.3375432957491163
volume_zscore_20d_raw,0.01,0.99,-2.146887002599058,2.89607314557686,-0.023327989882727114,1.0286337802094598
dollar_volume_zscore_20d_raw,0.01,0.99,-2.134681456515073,2.90756143726372,-0.0049790835142980135,1.0257110475240496
atr_rel,0.01,0.99,0.0089122246632488,0.053307436254286,0.019244996086580576,0.007988668977620246
macd,0.01,0.99,-4.404208888958578,4.850409079389493,0.2853080730482685,1.250119883981387
rsi_30,0.01,0.99,33.784357544084685,72.3397926420798,53.52551745281137,8.104811055419827
cci_30,0.01,0.99,-244.328744912086,250.32498773052328,27.265162632166536,108.95390431667356
dx_30,0.01,0.99,0.3922451033725452,68.2202870024602,23.285336090714253,16.31312011451157
volume_ratio,0.01,0.99,0.4450021544305253,2.571396236598923,0.9977076244431422,0.3669794582177641
obv_pct_change,0.01,0.99,-0.8575306375961624,0.8702606845185317,0.0004155161193967253,0.16672915759935494
PE_ratio,0.01,0.99,0.0,100.0,26.12148599529685,22.847605416214094
PB_ratio,0.01,0.99,0.0,10.0,3.2186726112462942,2.7723687573397435
dividend_yield,0.01,0.99,0.0,0.2,0.04067848642434679,0.031770418548365355
debt_ratio,0.01,0.99,0.2437077249107324,1.0716416244473246,0.6460194485882144,0.20157855649833534
revenue_growth,0.01,0.99,-0.336423165235139,0.732657716614936,0.05874360842898193,0.15361492774848107
EV_EBITDA,0.01,0.99,-1.2944514935000386,48.09533693429498,9.653704799183005,8.301633941126074
macd_delta_1d,0.01,0.99,-0.5889807110848437,0.5601026074706112,0.0007717729599404578,0.15011394695299204
rsi_30_delta_1d,0.01,0.99,-6.660023983613279,5.818393758403062,0.0018787103455887844,2.181840652165696
cci_30_delta_1d,0.01,0.99,-124.48299980374064,120.53289068808732,0.0355193951784257,39.778292794569346
dx_30_delta_1d,0.01,0.99,-23.23360277574862,19.77956824942718,-0.019201367341377423,7.591453364500546
volume_ratio_delta_1d,0.01,0.99,-1.2910963832296818,1.3134752568357482,-0.0005260450273357388,0.38021911186610297
PE_ratio_delta_1d,0.01,0.99,-3.1090900079950305,1.5698081568667703,-0.01515127786868956,0.5043619542583692
PB_ratio_delta_1d,0.01,0.99,-0.159313273953352,0.1513197865568987,0.0012005533003033794,0.04066544462819314
EV_EBITDA_delta_1d,0.01,0.99,-11.918820416500534,12.163728176538385,0.00796531365892079,2.732525191264176
VIX,0.01,0.99,9.670000076293944,43.04999923706055,17.53430119022302,6.35489790184848
10Y_Yield,0.01,0.99,0.6200000047683716,3.4830000400543213,2.2014304747776072,0.6222541839607719
Regime_0_Prob,0.01,0.99,9.0512073872819e-05,1.0,0.4002025474205151,0.4803961090993082
Regime_1_Prob,0.01,0.99,1.1203714563876634e-35,0.9999094879259344,0.5997974525794808,0.4803961090993124
SP500_Trend,0.01,0.99,-0.116162228285191,0.1511702435587531,0.04557642332928445,0.04790052313994636
turbulence,0.01,0.99,0.0,211.4128955997558,33.674459916867136,35.05428890295797
day_sin,0.01,0.99,-0.9510565162951536,0.9510565162951536,0.006163241867163939,0.7122417400878718
day_cos,0.01,0.99,-0.8090169943749476,1.0,-0.015863868177365476,0.7017279072495203
VIX_change_1d,0.01,0.99,-4.399999618530273,5.210000038146973,-0.026807509505305332,1.4022769175715464
VIX_change_5d,0.01,0.99,-9.31999969482422,11.350000381469728,-0.0402564038090346,2.9108753083195134
VIX_pct_change_1d,0.01,0.99,-0.1629824014397801,0.2850778858789582,0.00199590577684019,0.07208022560650586
VIX_percentile_252,0.01,0.99,0.0039682539682539,1.0,0.5019469797774055,0.33236355490126235
yield_change_1d,0.01,0.99,-0.1269999742507936,0.1239998340606685,-0.0006569171907584078,0.04402408478190808
yield_change_5d,0.01,0.99,-0.2639999389648437,0.2730000019073486,-0.002528710027772537,0.09720598680229596
Regime_1_Prob_delta_1d,0.01,0.99,-0.1633591056044986,0.1809421077485199,0.0013618743276912057,0.030829436642436585
regime_entropy,0.01,0.99,2.7631021115928543e-11,0.6521728407247518,0.032509291262165965,0.10782810112855845
SP500_Trend_delta_1d,0.01,0.99,-0.031108212635474,0.0258315633511844,5.706680607500594e-05,0.009010676579468403
turbulence_delta_1d,0.01,0.99,-153.56693658588645,156.31309451580032,-0.058901422872369935,37.38098315691032
turbulence_percentile_252,0.01,0.99,0.0158730158730158,1.0,0.5645253286098356,0.31304374737248003
universe_return_1d,0.01,0.99,-0.0311007884988692,0.0289068282355397,0.0006927677234221724,0.009329098973371521
universe_return_5d,0.01,0.99,-0.0605311504083099,0.0571746771659642,0.0035670380180355603,0.019764078300799078
universe_return_20d,0.01,0.99,-0.1054301897213414,0.1064199123068458,0.014251339427367166,0.03582904022712153
universe_vol_20d,0.01,0.99,0.0027412010005169,0.0370904392227787,0.00875684740553772,0.005300447181350394
