layer,n_steps,n_units,mean,std,frac_active,frac_dead_units,min,max
action_mode,289,30,0.058492522686719894,0.12982235848903656,1.0,,0.023975687101483345,0.8714511394500732
alpha_params,289,1,4.936367034912109,1.2270631790161133,1.0,,2.3371481895446777,7.839937210083008
features,289,1834,0.04341893643140793,1.2786905765533447,0.9978397286170867,,-6.134361743927002,5.746772289276123
policy_latent_penultimate_128,289,128,0.9212700128555298,1.3900614976882935,0.4907547577854671,,0.0,9.815997123718262
policy_net.0.Linear,289,256,0.0031536989845335484,2.233712673187256,0.9994998918685121,,-11.206737518310547,10.035629272460938
policy_net.1.ReLU,289,256,0.8770959973335266,1.3099446296691895,0.5007569204152249,0.00390625,0.0,10.035629272460938
policy_net.2.Linear,289,128,-0.0322260856628418,2.3766348361968994,0.9998648356401384,,-9.858241081237793,9.815997123718262
policy_net.3.ReLU,289,128,0.9212700128555298,1.3900614976882935,0.4907547577854671,0.03125,0.0,9.815997123718262
policy_net.4.Linear,289,64,0.8021581172943115,2.313673973083496,0.9997837370242214,,-6.987339973449707,8.627182006835938
policy_net.5.ReLU,289,64,1.3732404708862305,1.62818443775177,0.6333261245674741,0.015625,0.0,8.627182006835938
raw_action_params,289,31,0.19469940662384033,0.8154469728469849,0.995423596383525,,-0.47876113653182983,6.850375175476074
value_latent,289,64,1.2980550527572632,2.158395290374756,0.4984861591695502,,0.0,21.874006271362305
value_net.0.Linear,289,256,0.0008892185869626701,2.5421576499938965,0.999743187716263,,-11.181927680969238,13.121200561523438
value_net.1.ReLU,289,256,1.0005451440811157,1.541418194770813,0.48709180363321797,0.00390625,0.0,13.121200561523438
value_net.2.Linear,289,128,0.2272975593805313,2.6979758739471436,0.9998648356401384,,-12.620314598083496,15.152859687805176
value_net.3.ReLU,289,128,1.1507136821746826,1.7382936477661133,0.531844723183391,0.0234375,0.0,15.152859687805176
value_net.4.Linear,289,64,0.19403870403766632,3.206361770629883,1.0,,-12.959810256958008,21.874006271362305
value_net.5.ReLU,289,64,1.2980550527572632,2.158395290374756,0.4984861591695502,0.046875,0.0,21.874006271362305
